Categoria Principale,Sottocategoria,Dettaglio / Note
Il fotoromanzo,Descrizione,Storia di un genere che nasconde una struttura narrativa derivata da Propp. Il target è migrato su telenovelas e romanzo rosa.
La moda,Descrizione,"La comunicazione (settimane della moda, sfilate, siti, blog influencer). Variazione e permanere di modelli, gusti e legame con l'arte."
La pubblicità,Descrizione,"Dai manifesti di inizio secolo, alle riviste, Carosello, spot, fino ai banner su siti e social."
La cronaca,Settore,Nera
La cronaca,Settore,Rosa
La cronaca,Settore,Sportiva
La cronaca,Settore,Politica
La cronaca,Settore,Economica
Immagini scientifiche,Scopo,Riprese realizzate a scopo di studio e ricerca
Immagini scientifiche,Scopo,Riprese realizzate a scopo di documentazione
Immagini scientifiche,Scopo,Riprese realizzate a scopo di divulgazione
Immagini industriali,Scopo,Riprese realizzate a scopo di studio e ricerca
Immagini industriali,Scopo,Riprese realizzate a scopo di catalogazione
Immagini industriali,Scopo,Riprese realizzate a scopo di pubblicitario
Riprese aeree,Uso civile,Riprese per uso metereologico
Riprese aeree,Uso civile,Rilievi per l'urbanistica
Riprese aeree,Uso civile,Riprese per lo studio ideo geologico del territorio
Riprese aeree,Uso militare,Riprese per cartografia
Riprese aeree,Uso militare,Riprese per spionaggio
Riprese aeree,Uso militare,Riprese per il controllo strategico del territorio
Il mondo dell'arte,La riproduzione delle opere,Pittura
Il mondo dell'arte,La riproduzione delle opere,Scultura
Il mondo dell'arte,La riproduzione delle opere,Architettura
Il mondo dell'arte,La documentazione degli eventi,Teatro
Il mondo dell'arte,La documentazione degli eventi,Danza
Il mondo dell'arte,La documentazione degli eventi,Musica
Il mondo dell'arte,La documentazione degli eventi,Cinema
Il mondo dell'arte,L'aspetto creativo/artistico,Esposizioni / mostre
Il mondo dell'arte,L'aspetto creativo/artistico,Pubblicazioni
Il mondo dell'arte,L'aspetto creativo/artistico,Collezione
Il mondo dell'arte,L'aspetto creativo/artistico,Commercio
Il mondo editoriale,Argomenti,"Natura, Viaggi, Turismo, Avventura, Cucina, Giochi, Didattica"
Il mondo editoriale,Argomenti,"Sport, Fitness, Auto, Moto, Ciclismo, Sci, Musica"
Il mondo editoriale,Argomenti,"Arte, Architettura, Arredamento, Giardinaggio, Hobbistica, Bricolage, Informatica"
Prodotti di stampa,Formato,Cartoline
Prodotti di stampa,Formato,Poster
Prodotti di stampa,Formato,Calendari
Prodotti di stampa,Formato,Figurine
Immagini ricordo,Soggetto,Famiglia
Immagini ricordo,Soggetto,Ricorrenze
Immagini ricordo,Soggetto,Vacanze
Immagini ricordo,Soggetto,Cerimonie
Immagini ricordo,Soggetto,Feste
Immagini ricordo,Soggetto,Viaggi
Immagini ricordo,Soggetto,Tempo libero
Pratica amatoriale,Attività,"Partecipazione a circoli, club, gruppi"
Pratica amatoriale,Attività,Concorsi
Il ritratto,Uso istituzionale/pubblico,"La fototessera, i documenti e il controllo dell'identità"
Il ritratto,Uso istituzionale/pubblico,"Le fotografie segnaletiche, dall'identikit alla schedatura"
Il ritratto,Uso istituzionale/pubblico,I casellari giudiziari
